route_num,video_name,window_idx,window_start_sec,window_end_sec,drivable_occupancy_ratio,vru_drivable_intrusion_rate,interaction_risk_integral_itcc,enclosure_crowding_stress,green_buffer_under_congestion,exposed_vru_conflict_index,semantic_monotony_fatigue
1,CUT 2,0,0.0,3.0,1.2927046204957509,0.0120102719907407,6.949869884224776,0.1793957827922607,1.2850238878198164,0.02782327586993238,39.422372807980445
1,CUT 2,1,1.0,4.0,0.6528839258687328,0.0135054976851851,4.633246589483184,0.09553903896782827,0.6498392752306393,0.03128715054457845,39.422372807980445
1,CUT 2,2,2.0,5.0,0.6738443565550146,0.0284447337962962,0.0,0.0921788592245544,0.6723215774969433,0.007952211242663768,75.03100890915053
1,CUT 2,3,3.0,6.0,0.4908222260052962,0.0203551793981481,0.0,0.06253478346920747,0.490180530859318,0.004540982287065575,29.214861748951087
1,CUT 2,4,4.0,7.0,0.41782579515132434,0.0233875868055555,0.0,0.052871209631292236,0.41735378660331995,0.003612098289156985,119.12398646949839
1,CUT 2,5,5.0,8.0,0.1951952800617758,0.0463295717592592,0.0,0.024961914999355028,0.19501539089308462,0.008031509577447901,39.84430162769661
1,CUT 2,6,6.0,9.0,0.1788691092004562,0.0493460648148148,0.0,0.02270553666780246,0.17871431530748735,0.008900213315550876,80.47011185749281
1,CUT 2,7,7.0,10.0,0.18111807902094731,0.0489966724537037,0.4320925243241055,0.01944390163811628,0.1809483681666178,0.021171095884002195,9.825086658344635
1,CUT 2,8,8.0,11.0,0.22421350438316212,0.0437485532407407,2.4514726446870747,0.020605083666451373,0.22389598752570591,0.1072483815143119,14.325480284110041
1,CUT 2,9,9.0,12.0,0.3338769857040779,0.0371050347222222,24.503640209366775,0.026996945026037212,0.3327429696883016,0.18184168415787885,14.707627014488134
1,CUT 2,10,10.0,13.0,0.7145028704865087,0.0243974247685185,43.463245182150345,0.051141238176520436,0.7066039199642129,0.21207825090543744,19.176726272696477
1,CUT 2,11,11.0,14.0,2.41980058143285,0.011066261574074,60.84854325501048,0.162003319312399,2.374359303153049,0.09619512800875746,61.40347884820724
1,CUT 2,12,12.0,15.0,3.3400139899246155,0.0,69.54119229144055,0.21535764947571054,3.2578996751101084,0.0,28.60924247185081
1,CUT 2,13,13.0,16.0,2.68358872988692,0.0,61.8514210117154,0.1740965549038465,2.6017862519581696,0.0,22.1010554217474
1,CUT 2,14,14.0,17.0,3.2799762535826322,0.0,20.035046537593573,0.22300695414030602,3.1696796176961595,0.0,16.66967143067914
1,CUT 2,15,15.0,18.0,2.343981180727048,0.0161074942129629,10.017523268796786,0.17329011008829653,2.2632632678353732,0.04033929952009136,51.115975937390814
1,CUT 2,16,16.0,19.0,1.0942930070328025,0.0324030671296296,10.017523268796786,0.08090088658422956,1.0500692892782442,0.08114961973786221,65.41000223408449
1,CUT 2,17,17.0,20.0,0.9751021443793298,0.0326866319444444,0.7521951624016381,0.06135266528569907,0.9228989582282351,0.024586726423813928,21.34155079646832
1,CUT 2,18,18.0,21.0,0.6187113616855618,0.0333275462962962,0.9732616593032318,0.03564291819382761,0.5855879555131476,0.01621821150441926,63.059798643640654
