route_num,video_name,window_idx,window_start_sec,window_end_sec,building_coverage,building_oppression,green_coverage,openness_index,road_coverage,sidewalk_coverage,sky_visibility,wall_fence_coverage
1,CUT 2,0,0.0,3.0,0.2384753568672839,0.1387755407909524,0.0059415991512345,0.4595187917952674,0.4369000771604938,0.0157819733796296,0.1819656635802469,0.0005360243055555
1,CUT 2,1,1.0,4.0,0.2481069155092592,0.14633388138742,0.004663387345679,0.4540733506944444,0.443876350308642,0.0180557966820987,0.1767602237654321,0.001650993441358
1,CUT 2,2,2.0,5.0,0.2484430459104938,0.1367954755840248,0.0022598379629629,0.4615220711162552,0.4464113136574074,0.0206671971450617,0.1822010030864197,0.0029014756944444
1,CUT 2,3,3.0,6.0,0.2465928819444444,0.1274082145345486,0.0013073881172839,0.4639464377572017,0.4350998263888889,0.0200576292438271,0.2017054880401234,0.0016570216049382
1,CUT 2,4,4.0,7.0,0.2524269386574074,0.1265388835367233,0.0011296778549382,0.4604791988168724,0.434415268132716,0.0190403163580246,0.2023854648919753,0.0004111207561728
1,CUT 2,5,5.0,8.0,0.2595244984567901,0.1278817550888271,0.0009215856481481,0.4586092624742799,0.4404762249228395,0.0169577064043209,0.1927379918981481,0.0002748842592592
1,CUT 2,6,6.0,9.0,0.255258487654321,0.1269393959040556,0.0008654031635802,0.4618453414351852,0.4412690489969135,0.0137967785493827,0.1968880208333333,0.0003296199845679
1,CUT 2,7,7.0,10.0,0.2161911651234568,0.1073548358243546,0.0009370177469135,0.4861036361882717,0.4256643036265432,0.0129571759259259,0.2430840084876543,0.0004226948302469
1,CUT 2,8,8.0,11.0,0.1888797260802469,0.0918993872520676,0.0014161361882716,0.505780044367284,0.4148283179012345,0.0123697916666666,0.2736747685185185,0.0012678433641975
1,CUT 2,9,9.0,12.0,0.1586405285493827,0.0808589575861487,0.0033965084876543,0.5140402359825104,0.4105885898919753,0.0136942997685185,0.3038818962191358,0.0032665412808641
1,CUT 2,10,10.0,13.0,0.1335660204475308,0.0715759730142135,0.0110551697530864,0.5326076228137859,0.4222364486882716,0.0164730420524691,0.2988961226851852,0.007268036265432
1,CUT 2,11,11.0,14.0,0.1294565007716049,0.0669490372700345,0.0187789351851851,0.5329989711934157,0.4201767457561728,0.018584587191358,0.2991763117283951,0.0081852816358024
1,CUT 2,12,12.0,15.0,0.1250072337962963,0.0644780680935325,0.0245850212191358,0.5241857960390947,0.4211026716820988,0.0202473958333333,0.2770676601080247,0.0102170138888888
1,CUT 2,13,13.0,16.0,0.1298902874228395,0.0648745290084679,0.0304824942129629,0.5106970968364197,0.3991828221450617,0.0179564525462962,0.2668132716049383,0.0105013020833333
1,CUT 2,14,14.0,17.0,0.1365002893518518,0.0679904172771743,0.0336272665895061,0.4961540316358025,0.3680731577932098,0.0115538194444444,0.2540921585648148,0.0104419849537037
1,CUT 2,15,15.0,18.0,0.1423982445987654,0.0739298214137308,0.0344362461419753,0.4930862590020576,0.3636400462962963,0.0097079957561728,0.2475156732253086,0.0085071855709876
1,CUT 2,16,16.0,19.0,0.1405808738425926,0.0739298214137308,0.0404130497685185,0.4981344039351851,0.364139419367284,0.008961467978395,0.2537627797067901,0.0051415412808641
1,CUT 2,17,17.0,20.0,0.1246969039351851,0.0629192189139848,0.0535361207561728,0.5034193351337448,0.3576994116512345,0.0086528260030864,0.2648630401234568,0.0044020061728395
1,CUT 2,18,18.0,21.0,0.1188872010030864,0.0576083136678228,0.0535361207561728,0.5038406635802469,0.3543443769290123,0.008667293595679,0.2715407986111111,0.0043542631172839
1,CUT 2,19,19.0,22.0,0.1260431134259259,0.0614395383213888,0.0497547743055555,0.5026410590277779,0.3496344521604938,0.0085551697530864,0.2856958912037037,0.0042165798611111
1,CUT 2,20,20.0,23.0,0.1414221643518518,0.0703256935250832,0.0436525848765432,0.5008198302469136,0.3530080536265432,0.0089812403549382,0.2839576099537037,0.0032289255401234
1,CUT 2,21,21.0,24.0,0.1519528838734568,0.0741210783193167,0.0415458622685185,0.4981346450617284,0.3317667341820988,0.0084360532407407,0.292104793595679,0.0020787519290123
1,CUT 2,22,22.0,25.0,0.1462991898148148,0.0697190905037273,0.0401461226851851,0.5021668434927984,0.3311448688271605,0.0086697048611111,0.2955697820216049,0.0016432773919753
1,CUT 2,23,23.0,26.0,0.1340448977623456,0.0628601552865641,0.0369958043981481,0.5064691036522634,0.3341454475308641,0.0086697048611111,0.3394008005401234,0.0020551215277777
1,CUT 2,24,24.0,27.0,0.1253021315586419,0.0578724088766622,0.0419656635802469,0.5349619020061729,0.3589776234567901,0.0144058641975308,0.3710976080246914,0.0042691454475308
1,CUT 2,25,25.0,28.0,0.1121525366512345,0.0496250291765342,0.0441022858796296,0.5474604552469136,0.3604029224537037,0.0145066550925925,0.3851789158950617,0.0062861689814814
