route_num,video_name,window_idx,window_start_sec,window_end_sec,car_count,cyclist_motorcycle_count,dynamic_object_area_ratio,large_vehicle_ratio,person_count,total_object_count,traffic_sign_count,truck_bus_count,car_speed_mean,car_accel_mean,car_jerk_mean,person_speed_mean,cyclist_speed_mean,pedestrian_crossing_count,min_ttc,risk_count
1,CUT 2,0,0.0,3.0,3.0,0.0,0.0155270268004617,0.0,1.0,5.0,5.0,0.0,167.45790026552265,2490.7266439021987,47760.75631213366,48.28432547158052,,0,0.4316627577171735,3
1,CUT 2,1,1.0,4.0,3.0,0.0,0.0088181752334406,0.0,1.0,5.0,5.0,0.0,174.64566122808603,3455.2362934753346,77096.94103796715,69.6532659955775,,0,0.4316627577171735,2
1,CUT 2,2,2.0,5.0,4.0,0.0,0.0095843355155285,0.0,2.0,5.0,6.0,0.0,103.01996098339188,3837.26165409426,85465.96783438233,142.6945983784561,,0,3.576959027910331,0
1,CUT 2,3,3.0,6.0,4.5,0.0,0.0099912652851622,0.0,1.0,6.0,6.0,0.0,67.67698767794789,2691.259662218586,51185.81744622714,155.57735821409577,,0,4.482549834234611,0
1,CUT 2,4,4.0,7.0,5.0,0.0,0.009772354879497,0.0,1.0,6.0,5.0,0.0,72.58620402661856,2693.481810630491,44709.6772645224,150.0036082670636,,0,6.474792470559777,0
1,CUT 2,5,5.0,8.0,4.0,0.0,0.0090435089299708,0.0,1.0,5.0,3.0,0.0,34.32711915994835,1173.154782551262,24611.97609532584,50.27861883958425,,0,5.768476189003178,0
1,CUT 2,6,6.0,9.0,4.5,0.0,0.0088266655250831,0.0,1.0,5.0,2.0,0.0,61.904238537081326,1974.3376154973464,48551.43639421079,74.86126083846291,,0,5.544368776936504,0
1,CUT 2,7,7.0,10.0,5.0,0.0,0.0088743643113124,0.0,1.0,6.0,2.0,0.0,92.02550129938491,2955.210391705146,76548.27192833499,46.97997906751899,,0,2.314319141633463,1
1,CUT 2,8,8.0,11.0,5.0,0.0,0.0098092406473042,0.0,1.0,6.0,3.0,0.0,123.8487819852454,3945.807936650185,96561.70373650866,204.0452219557572,,1,0.4079180741287235,1
1,CUT 2,9,9.0,12.0,6.0,0.0,0.0123888510244864,0.0,1.0,7.0,3.0,0.0,141.39095270761993,4732.621482247736,113626.8948733392,292.64681608686897,,1,0.2040513147139949,5
1,CUT 2,10,10.0,13.0,7.0,0.0,0.0174327445324556,0.0,1.0,8.0,3.0,0.0,144.37197264379563,4670.01315652844,118014.940920316,322.73909953740343,,1,0.1150397302144714,5
1,CUT 2,11,11.0,14.0,7.0,0.0,0.0267805659918137,0.0,1.0,8.0,2.0,0.0,145.11487396617207,4306.092551440025,109692.35351830804,485.946096701217,,0,0.1150397302144714,7
1,CUT 2,12,12.0,15.0,7.0,0.0,0.0370542041166329,0.0,0.0,8.0,2.0,0.0,116.9677096260179,3356.111971683293,88553.04078996723,513.6019175488611,,0,0.1150397302144714,8
1,CUT 2,13,13.0,16.0,8.5,0.0,0.0453794823163821,0.0,0.0,8.5,3.5,0.0,98.80533897972548,2965.3168861787294,63939.463920586975,625.1586835491194,,0,0.1293422183216244,8
