route_num,video_name,window_idx,window_start_sec,window_end_sec,drivable_occupancy_ratio,vru_drivable_intrusion_rate,interaction_risk_integral_itcc,enclosure_crowding_stress,green_buffer_under_congestion,exposed_vru_conflict_index,semantic_monotony_fatigue
2,CUT 1,0,0.0,3.0,0.1353828869004612,0.0,0.0,0.002929928946155262,0.12775312987867346,0.0,38.93713518405517
2,CUT 1,1,1.0,4.0,0.15444174208221575,0.0,0.0,0.0038620744204081302,0.14574593129931948,0.0,38.93713518405517
2,CUT 1,2,2.0,5.0,0.2300682427661267,0.0,0.0,0.009022295866284799,0.21850803752318787,0.0,6.892558422375222
2,CUT 1,3,3.0,6.0,0.25515420750186973,0.0,0.0,0.013492914376592608,0.24564655706803543,0.0,19.370329115006957
2,CUT 1,4,4.0,7.0,0.26914974582014844,0.0,0.0,0.01719587221311761,0.2641499154724478,0.0,5.766544249239421
2,CUT 1,5,5.0,8.0,0.280443649668664,0.0,0.0,0.02152096054377827,0.27812183429651566,0.0,14.180332993362276
2,CUT 1,6,6.0,9.0,0.38192000340588317,0.0,0.0,0.029836095487039516,0.3789474424418745,0.0,51.75951576456903
2,CUT 1,7,7.0,10.0,1.011402836975999,0.0,0.0,0.08005675113065441,0.9995789934803617,0.0,23.841724723611875
2,CUT 1,8,8.0,11.0,3.5364041922366862,0.0,0.0,0.3115529575319201,3.4795918742373804,0.0,26.3510626729374
2,CUT 1,9,9.0,12.0,4.844668905811877,0.0,0.0,0.42880447530207644,4.759881943157971,0.0,34.11826872768663
2,CUT 1,10,10.0,13.0,5.976123469140516,0.0,0.0,0.5323282844884545,5.867942405950769,0.0,29.300934638771484
2,CUT 1,11,11.0,14.0,4.327992201233536,0.0,0.0,0.3617327420963329,4.215716118825668,0.0,40.6019421191822
2,CUT 1,12,12.0,15.0,1.4369727809123718,0.0,0.0,0.10175388188599344,1.372443098283423,0.0,12.5335878667123
2,CUT 1,13,13.0,16.0,1.2590340790941736,0.0,0.0,0.08350962718254243,1.1954737600328715,0.0,21.67785996316977
2,CUT 1,14,14.0,17.0,1.2223076831595834,0.0,0.0,0.0956428475758084,1.167630104442204,0.0,19.760955223991182
2,CUT 1,15,15.0,18.0,0.6171110595067537,0.0,0.0,0.07925121071310373,0.6039288146358991,0.0,5.776719211811593
2,CUT 1,16,16.0,19.0,0.5312931381902815,0.0,0.6065855317367529,0.1244197030203891,0.5247632365233096,0.0,3.5064300698512847
2,CUT 1,17,17.0,20.0,1.9589683849358652,0.0,0.45092422636153956,0.5854085329066847,1.9485836843666333,0.0,9.737808080431444
2,CUT 1,18,18.0,21.0,1.7243345775617354,0.0,0.0,0.5106380734614434,1.7194586922436734,0.0,130.06071080436618
2,CUT 1,19,19.0,22.0,0.34862658450495776,0.0,0.0,0.09226611359970244,0.34671681745648414,0.0,12.999520687811874
2,CUT 1,20,20.0,23.0,0.7138890145833964,0.0,0.0,0.16908436812454966,0.7097703645285571,0.0,12.107609278241759
2,CUT 1,21,21.0,24.0,0.744127817920062,0.0,0.0,0.1769798448676267,0.7422658835145459,0.0,36.98171783738986
2,CUT 1,22,22.0,25.0,0.6936793957373504,0.0,0.0,0.16692695888661024,0.6922564346939026,0.0,55.01458411792061
2,CUT 1,23,23.0,26.0,0.6607098036741526,0.0,0.0,0.16166699014680203,0.6586199934769844,0.0,104.83542476365646
2,CUT 1,24,24.0,27.0,0.561366660634536,0.0,0.0,0.1364516645065237,0.5590136230802487,0.0,31.79310021833739
