participant_video,relative_time,Anger,Contempt,Disgust,Fear,Joy,Sadness,Surprise,Engagement,Valence,Sentimentality,Confusion,Neutral
P85-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P85-9,0.003044700000000006,0.3794513642787933,0.009408701211214,0.2538691163063049,0.2564218640327453,3.9007585048675537,0.0392987728118896,1.8601616621017456,80.5062255859375,41.077686309814446,0.2777898609638214,0.2777898609638214,92.198486328125
P85-9,0.04518919999999997,0.393659621477127,0.0105982953682541,0.2553377151489257,0.2714588940143585,3.248110771179199,0.041581891477108,1.682037353515625,80.239013671875,39.27933883666992,0.2639955878257751,0.2639955878257751,93.50377655029298
P85-9,0.07870569999999998,0.4330087304115295,0.013568733818829,0.2721498012542724,0.3037817478179931,2.2963080406188965,0.0466651394963264,1.4719808101654053,80.48841094970702,35.849693298339844,0.2817581593990325,0.2817581593990325,95.40738677978516
P85-9,0.11055989999999997,0.490850031375885,0.0175262782722711,0.3172231912612915,0.3403066992759704,1.373677134513855,0.0510131940245628,1.4277772903442385,77.12628173828125,31.166530609130856,0.2874877750873565,0.2874877750873565,97.14444732666016
P85-9,0.1413779,0.5412790775299072,0.0208176039159297,0.3686418235301971,0.3684154450893402,1.1815680265426636,0.0563038066029548,1.4859648942947388,79.61066436767578,29.482748031616207,0.2998456954956054,0.2998456954956054,97.028076171875
P85-9,0.1744258,0.595191478729248,0.0224031973630189,0.4651112854480743,0.3778574764728546,1.1015665531158447,0.0580134876072406,1.4627220630645752,80.48298645019531,28.767623901367188,0.3025585711002349,0.3025585711002349,97.0745620727539
P85-9,0.20617770000000002,0.6974821686744689,0.0254752729088068,0.6828309297561646,0.397663801908493,0.9784314632415771,0.0616860091686248,1.5564010143280027,82.01605224609375,27.508764266967773,0.329247236251831,0.329247236251831,96.88719177246092
P85-9,0.23805169999999998,0.785023808479309,0.0284828748553991,0.8999357819557189,0.4165587425231933,0.8690976500511169,0.0651273131370544,1.9399484395980835,82.96012115478516,26.297607421875,0.3389915227890014,0.3389915227890014,96.12010192871091
P85-9,0.2694117,0.8211051821708679,0.031080599874258,0.9522098898887634,0.4332143664360046,0.6577154397964478,0.0659037679433822,2.2182459831237797,79.72157287597656,23.925075531005856,0.3552426397800445,0.3552426397800445,95.56350708007811
