model,target,r2,rmse,mae,pearson_r,cv_cv_r2_mean,cv_cv_r2_std,cv_cv_rmse_mean,cv_cv_rmse_std
Xgboost,arousal,0.804571185415478,0.057987581746902675,0.04119761979045433,0.9057891163633761,0.42543014948545127,0.19539387947294487,0.0834166542398609,0.018419631161797956
Lightgbm,arousal,0.7580798109007232,0.06451738487712597,0.043495659463524405,0.8769260720660828,0.31577660104588423,0.3408124977717048,0.08858451521386695,0.016553262264690633
Random Forest,arousal,0.6603569585949277,0.07644552357861026,0.053098343721180316,0.8818271578926905,0.3830170139115513,0.19926490993309173,0.08690702818804781,0.0180027355620773
