feature,target,shap_importance,feat_mean,feat_std,feat_p10,feat_p90,beta_shap,delta_per_sigma,pdp_at_p10,pdp_at_p90,pdp_delta_p10_p90,unit_change_ref,delta_per_unit,shap_r,sens_rank
sky_visibility,valence,0.03860500827431679,0.2810281217098236,0.07951715588569641,0.1974603235721588,0.36508187651634216,0.4929414195077792,0.03919729969751655,-0.15660454332828522,-0.08301655948162079,0.07358798384666443,0.016762155294418334,0.00826276062484041,0.7433228168760807,1
green_coverage,valence,0.020450791344046593,0.03179039806127548,0.02801506407558918,0.0014829523861408234,0.07370513677597046,0.6880305382847921,0.019275219616010565,-0.14184978604316711,-0.09638059884309769,0.04546918720006943,0.0072222184389829636,0.004969106840183799,0.8547340710248096,2
sidewalk_coverage,valence,0.0192328579723835,0.010485039092600346,0.009526594541966915,0.0014673937112092972,0.02612237259745598,1.7732172391184107,0.016892721671907092,-0.10645623505115509,-0.07837892323732376,0.02807731181383133,0.0024654978886246683,0.004371863359119305,0.5849805944541201,3
building_oppression,valence,0.010341588407754898,0.08035635948181152,0.04936680570244789,0.024988839402794838,0.12794701755046844,-0.18715186351612015,-0.009239089683051349,-0.09410316497087479,-0.12177393585443497,-0.02767077088356018,0.010295817814767362,-0.0019268814904561797,-0.7134572989483235,4
drivable_width_mean,valence,0.006029695738106966,0.18034662306308746,0.09548429399728775,0.017005005851387978,0.27810245752334595,-0.06344989419696487,-0.006058468351599795,-0.10092680156230927,-0.11878445744514465,-0.017857655882835388,0.0261097451671958,-0.0016566605683682883,-0.8487312512387084,5
enclosure_crowding_stress,valence,0.006468598730862141,293.7424011230469,1275.64697265625,0.002587884198874235,2.8843817710876465,-4.342925838900473e-06,-0.005540040198863993,-0.10309229791164398,-0.10309229791164398,0.0,0.2881793886888772,-1.2515417133754677e-06,-0.5868216569841251,6
building_coverage,valence,0.005068711005151272,0.15950946509838104,0.08391225337982178,0.05548882484436035,0.25094690918922424,-0.05650644936471282,-0.004741583496685852,-0.11110883206129074,-0.10593561828136444,0.0051732137799263,0.01954580843448639,-0.001104464234595682,-0.4379553268812373,7
min_ttc,valence,0.007014606613665819,4.687301158905029,12.587323188781738,0.4951356053352356,5.888311862945557,-0.00035203167883698157,-0.004431136514210504,-0.10168412327766418,-0.11707351356744766,-0.015389390289783478,0.5393176257610321,-0.00018985688922303108,-0.42194731939922964,8
total_object_count,valence,0.0048907166346907616,5.891666889190674,3.645878553390503,2.0,11.100000381469727,-0.0011458827513820802,-0.004177749347964028,-0.10497570037841797,-0.10998468101024628,-0.005008980631828308,0.9100000381469727,-0.0010427533474696511,-0.5644689103796038,9
openness_index,valence,0.005292567424476147,0.4856235384941101,0.045958273112773895,0.45210325717926025,0.5298765897750854,0.07392780843849515,0.003397594410845191,-0.11701586097478867,-0.10327806323766708,0.013737797737121582,0.0077773332595825195,0.0005749612033767536,0.5277606794425203,10
car_accel_mean,valence,0.009236091747879982,1755.696533203125,1786.402099609375,286.2078857421875,2960.265380859375,-1.499327253717949e-06,-0.002678401354043302,-0.0997883751988411,-0.11958335340023041,-0.019794978201389313,267.40574951171874,-0.00040092872804379506,-0.1647945186238585,11
traffic_sign_count,valence,0.005721783731132746,2.4000000953674316,2.120927572250366,0.0,5.0,0.0012491804139205356,0.002649421182599189,-0.12267062067985535,-0.10695216804742813,0.015718452632427216,0.5,0.0006245902069602678,0.3452460336846359,12
dynamic_object_area_ratio,valence,0.00797184742987156,0.01821993663907051,0.018092870712280273,0.0020707808434963226,0.04729824885725975,0.10985826613218973,0.0019876514058049873,-0.10753884166479111,-0.11469153314828873,-0.00715269148349762,0.004522746801376343,0.0004968611217541121,0.18138992100862675,13
road_coverage,valence,0.005636940710246563,0.3351650834083557,0.052854519337415695,0.26127609610557556,0.41115468740463257,0.008659691888704057,0.0004577038523875704,-0.11383262276649475,-0.10445569455623627,0.009376928210258484,0.014987859129905702,0.00012979024213628345,0.05071007603039774,14
car_count,valence,0.005254891235381365,4.5333333015441895,2.7307915687561035,1.899999976158142,9.0,-5.595910356897736e-06,-1.5281264822131297e-05,-0.10128689557313919,-0.09974178671836853,0.0015451088547706604,0.7100000023841858,-3.973096366739083e-06,-0.002115987047443773,15
