model,target,r2,rmse,mae,pearson_r,cv_cv_r2_mean,cv_cv_r2_std,cv_cv_rmse_mean,cv_cv_rmse_std
Xgboost,valence,0.7594335800020217,0.0797212362973633,0.056116545536421585,0.8831153334775418,0.5621968548765517,0.10339536200751616,0.10338439277355094,0.01680263618664859
Lightgbm,valence,0.6476636632571997,0.09647954345498785,0.07155541504037433,0.8072249501489573,0.47126761815704227,0.1929903131220061,0.11055116777208043,0.008055153932870894
Random Forest,valence,0.6289578432771185,0.09900751271481249,0.07121837884612472,0.8293937259889339,0.4692796627860932,0.0856965460423066,0.11402082471403777,0.01334528310803759
