participant_video,relative_time,Anger,Contempt,Disgust,Fear,Joy,Sadness,Surprise,Engagement,Valence,Sentimentality,Confusion,Neutral
P43-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P43-4,0.010446100000000002,0.1488216370344162,0.1760054975748062,0.0286714117974042,0.1448869705200195,0.0279695317149162,0.1276768594980239,0.0581978522241115,0.3287661075592041,0.0,0.0305995289236307,0.1229370757937431,99.64799499511719
P43-4,0.042036599999999966,0.1439782381057739,0.1760821789503097,0.0275308266282081,0.1399032026529312,0.0280204061418771,0.1265586912631988,0.0576427653431892,0.3287661075592041,0.0,0.0334388203918933,0.1232335120439529,99.64784240722656
P43-4,0.0737801,0.1402516961097717,0.1751295179128646,0.0264423079788684,0.1348075121641159,0.0285020507872104,0.1251746416091918,0.0570511221885681,0.3287661075592041,0.0,0.0345515497028827,0.1467048376798629,99.64974975585936
P43-4,0.10569319999999999,0.1385511755943298,0.175427958369255,0.0259483121335506,0.1325796097517013,0.0285669080913066,0.1248089149594306,0.0567788258194923,0.3287661075592041,0.0,0.0350254736840724,0.1475827544927597,99.64915466308592
P43-4,0.13774079999999997,0.1345240771770477,0.1741113811731338,0.0252587869763374,0.1299226135015487,0.0288471113890409,0.1240521818399429,0.0566446334123611,0.3287661075592041,0.0,0.0369570553302764,0.155384674668312,99.65177917480467
P43-4,0.17096889999999995,0.1339152157306671,0.1735631823539733,0.0249003786593675,0.1283931136131286,0.0291269533336162,0.1236467957496643,0.0564890094101428,0.3287661075592041,0.0,0.039302684366703,0.1697104126214981,99.65287780761719
P43-4,0.2181214,0.1352092623710632,0.1742025911808013,0.0246436018496751,0.1279070973396301,0.0286990348249673,0.1236620470881462,0.0564634166657924,0.3287661075592041,0.0,0.0421140901744365,0.1921875327825546,99.65159606933594
P43-4,0.2507011,0.1350592523813247,0.1753041744232177,0.0244036819785833,0.1273017823696136,0.0283729135990142,0.123933658003807,0.0564401969313621,0.3287661075592041,0.0,0.0446621142327785,0.220503956079483,99.6493911743164
P43-4,0.28278519999999996,0.1363599449396133,0.1750526875257492,0.0245239902287721,0.1279325038194656,0.028427230194211,0.1240497604012489,0.0565473511815071,0.3287661075592041,0.0,0.0460406206548213,0.2384912073612213,99.64990234375
P43-4,0.31417259999999997,0.1363060623407363,0.1757909953594207,0.0243440736085176,0.1275305449962616,0.0282084103673696,0.124305821955204,0.056572176516056,0.3287661075592041,0.0,0.0438109263777732,0.2525324821472168,99.6484146118164
P43-4,0.3461676,0.1361503005027771,0.1767386496067047,0.0242766011506319,0.1277597695589065,0.0279196575284004,0.1248510107398033,0.0567186810076236,0.3287661075592041,0.0,0.0439569652080535,0.2803846597671508,99.64651489257811
P43-4,0.3787259,0.1360533535480499,0.1780774295330047,0.0243901219218969,0.1283951997756958,0.0275215357542037,0.1252418905496597,0.0568117126822471,0.3287661075592041,0.0,0.0428287647664546,0.3086519539356231,99.64384460449219
P43-4,0.4098380999999999,0.1370099186897277,0.1804085969924926,0.0244722068309783,0.1286359727382659,0.0268964525312185,0.1256853640079498,0.056787509471178,0.3287661075592041,0.0,0.0420904904603958,0.315086543560028,99.63917541503906
P43-4,0.4430132,0.1373991668224334,0.1807372570037841,0.0245878119021654,0.1293644458055496,0.0268007926642894,0.1260491609573364,0.0569849796593189,0.3287661075592041,0.0,0.0409527048468589,0.3701860606670379,99.63851928710936
P43-4,0.4738153,0.1344291716814041,0.1810168921947479,0.0244491174817085,0.1293687522411346,0.0267583057284355,0.1265550702810287,0.0571397952735424,0.3287661075592041,0.0,0.0417796783149242,0.414133220911026,99.63796997070312
P43-4,0.5066995,0.1343929320573806,0.1812582910060882,0.024734653532505,0.1303268373012542,0.0267082992941141,0.126658409833908,0.0572379678487777,0.3287661075592041,0.0,0.0480317808687686,0.4475147724151611,99.63748931884764
P43-4,0.5416951,0.133651465177536,0.18110091984272,0.0246917456388473,0.1305444240570068,0.0267802029848098,0.1268989592790603,0.0573668032884597,0.3287661075592041,0.0,0.0488707013428211,0.4894406199455261,99.63779449462889
P43-4,0.5736947,0.1350375264883041,0.1807721853256225,0.0245937202125787,0.1300489604473114,0.0268350783735513,0.1267185062170028,0.0572225265204906,0.3287661075592041,0.0,0.050087746232748,0.4836005568504333,99.63845825195312
