participant_video,relative_time,Anger,Contempt,Disgust,Fear,Joy,Sadness,Surprise,Engagement,Valence,Sentimentality,Confusion,Neutral
P94-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P94-2,0.031129599999999983,0.060835912823677,13.951820373535156,0.0107329711318016,0.064924880862236,0.6945916414260864,0.0560310073196887,0.1174352914094924,4.561604022979736,23.73463249206543,27.746091842651367,0.0080693298950791,72.09635162353516
P94-2,0.06413069999999998,0.0635831356048583,11.922084808349608,0.0103857479989528,0.0637871995568275,0.7835452556610107,0.0560922995209693,0.1112417206168174,4.87421989440918,23.697996139526367,28.17895126342773,0.0077312542125582,76.15582275390625
P94-2,0.09512959999999998,0.0781375020742416,10.863043785095217,0.01013645529747,0.0651324912905693,0.9404460787773132,0.0576908066868782,0.1095863729715347,5.128832340240479,21.832618713378903,27.4483585357666,0.0079721258953213,78.27391052246092
P94-2,0.1279774,0.0711952894926071,8.596728324890137,0.0094833737239241,0.0627162903547286,1.379353642463684,0.0558579787611961,0.1129019781947135,7.000426292419434,25.44557762145996,27.829395294189453,0.0076973121613264,82.80654907226561
P94-2,0.1598914,0.0641820505261421,6.598972320556641,0.0090818833559751,0.0612417683005332,1.7879241704940796,0.0539030954241752,0.12893046438694,8.99609661102295,28.494379043579105,28.28230094909668,0.006937826052308,86.80204772949219
P94-2,0.19199919999999998,0.0539489164948463,7.674402713775635,0.0093220379203557,0.0617115944623947,1.6352365016937256,0.0533059425652027,0.13914355635643,8.839506149291992,30.473621368408203,31.83038902282715,0.0061524389311671,84.6511993408203
P94-2,0.22363139999999998,0.053094308823347,10.13776969909668,0.0101659204810857,0.0677002221345901,1.214534878730774,0.0565832033753395,0.1445170491933822,6.6628828048706055,28.944381713867188,30.24208068847656,0.0055871815420687,79.7244644165039
P94-2,0.25553909999999996,0.0619107447564601,12.466387748718262,0.011646868661046,0.0779100582003593,0.6592119336128234,0.0627720579504966,0.1354656368494033,3.7285594940185542,22.96029281616211,26.437292098999023,0.0049988362006843,75.06723022460938
P94-2,0.28699959999999997,0.0681873559951782,14.861814498901367,0.0130263771861791,0.0823677256703376,0.4430302381515502,0.0673819780349731,0.1400647759437561,3.593116521835327,19.24036979675293,23.894550323486328,0.0045478241518139,70.2763671875
P94-2,0.3201895,0.0836374014616012,12.248492240905762,0.0138748819008469,0.0870911255478858,0.3669363260269165,0.0705417618155479,0.1250397562980651,6.51263427734375,15.006838798522947,22.734899520874023,0.004029085393995,75.50302124023438
P94-2,0.35204040000000003,0.0929756462574005,11.61988925933838,0.0145194428041577,0.0874407738447189,0.2887060642242431,0.0733602419495582,0.1064898818731308,15.434307098388672,12.008149147033691,21.121076583862305,0.003596322145313,76.76021575927734
P94-2,0.38499949999999994,0.1018890142440795,8.10357666015625,0.0167977400124073,0.0939506962895393,0.2254414856433868,0.0816198587417602,0.0916346907615661,31.560754776000977,9.014561653137209,19.100542068481445,0.0031871714163571,83.7928466796875
P94-2,0.4327765,0.1343720108270645,8.847980499267578,0.0189327429980039,0.1003044992685318,0.1899194717407226,0.0887401103973388,0.0849264711141586,41.84508895874024,4.059355735778809,17.508285522460938,0.0025636879727244,82.30403900146483
P94-2,0.46400269999999993,0.1453820317983627,7.652992725372314,0.0256634019315242,0.1182275488972663,0.1532259583473205,0.1082146689295768,0.0757544338703155,56.339752197265625,0.961607277393341,15.60280418395996,0.0022713923826813,84.6940155029297
P94-2,0.49597840000000004,0.158070296049118,7.060755252838135,0.0304513983428478,0.1278846859931945,0.1399980783462524,0.1205835938453674,0.0696193873882293,62.589012145996094,0.0,14.651455879211426,0.0021334532648324,85.87848663330078
P94-2,0.5289772,0.1690758168697357,8.860148429870605,0.037710852921009,0.1355084031820297,0.1262263804674148,0.1389499604701995,0.0653857812285423,66.0562973022461,0.0,13.424870491027832,0.0022341299336403,82.27970123291014
P94-2,0.5599770000000001,0.1833977103233337,14.115158081054688,0.0480979420244693,0.1642873734235763,0.0984495133161544,0.1625204682350158,0.0628455281257629,66.109375,0.0,11.513202667236328,0.001731302589178,71.76969146728516
P94-2,0.5920651,0.1966636180877685,20.88382339477539,0.0572101734578609,0.1746812760829925,0.0895547866821289,0.1818285882472991,0.0605241917073726,67.14823150634766,0.0,10.519693374633787,0.0015034507960081,58.23234558105469
P94-2,0.6245565,0.2663861215114593,30.43439483642578,0.0758676528930664,0.2038048803806304,0.0806546956300735,0.2157194316387176,0.0596465840935707,67.71017456054688,0.0,9.494466781616211,0.0011883198749274,44.56560516357422
P94-2,0.6556539,0.3287426531314849,53.85750579833984,0.0934838876128196,0.2376088351011276,0.0768508613109588,0.2462770342826843,0.058985274285078,68.95172882080078,0.0,8.723958969116211,0.0010093798628076,21.142488479614254
P94-2,0.6886033,0.4667304456233978,66.98738098144531,0.1468141973018646,0.2774315774440765,0.08183004707098,0.3256533145904541,0.0587155036628246,72.4679946899414,-3.50836181640625,8.230219841003418,0.0009306312422268,8.012619018554686
P94-2,0.7209774999999999,0.6145071387290953,76.19434356689453,0.1817104965448379,0.3137132823467254,0.087696723639965,0.3705370426177978,0.0584390014410018,74.48712921142578,-7.809425354003905,8.201847076416014,0.0008392219897359,0.0
P94-2,0.7544466,0.6789192557334899,81.59719848632812,0.2318655550479888,0.3390342593193054,0.0916008278727531,0.4262970685958862,0.0583877563476562,75.45368957519531,-9.780342102050781,8.270829200744629,0.0008848296711221,0.0
P94-2,0.7875582999999999,0.6968469619750975,83.4612579345703,0.2551737129688262,0.3472495377063751,0.0989904180169105,0.4418691098690033,0.0586293563246726,74.99972534179686,-10.085006713867188,9.12237548828125,0.0009234437020495,0.0
P94-2,0.8322604999999998,0.6501672267913818,80.49671936035155,0.2730277478694915,0.3421842455863952,0.108159065246582,0.4476414024829864,0.0583123713731765,74.11247253417967,-8.928558349609375,10.213120460510254,0.000919860205613,0.0
P94-2,0.8635486999999998,0.4732517898082733,77.67853546142578,0.2550073862075805,0.3380869328975677,0.112198956310749,0.4250849485397338,0.0582525953650474,73.46238708496092,-3.714942932128906,10.755083084106444,0.0009340259712189,0.0
P94-2,0.8960003,0.3511835634708404,73.83616638183594,0.218462735414505,0.324735552072525,0.1260642260313034,0.3910991251468658,0.0570071227848529,75.1325912475586,0.0,11.246716499328612,0.0010557504137977,1.1638323068618774
P94-2,0.9284604999999999,0.3869030475616455,68.42621612548828,0.2220822274684906,0.3247861862182617,0.1131266579031944,0.3951312005519866,0.0567844025790691,73.92777252197266,-0.4216690063476562,10.675380706787108,0.0010014198487624,6.5737786293029785
P94-2,0.9600539999999999,0.3923447728157043,60.74539566040039,0.2070448398590087,0.3192323744297027,0.1021763980388641,0.3809154629707336,0.056615438312292,72.7669677734375,-1.1225357055664062,10.138182640075684,0.0009456840343773,14.254602432250977
P94-2,0.9915552,0.3355591297149658,43.5472526550293,0.1530527770519256,0.2909934520721435,0.1003051772713661,0.3224407434463501,0.0564825497567653,72.41542053222656,0.0,10.081467628479004,0.0010339136933907,31.45274543762207
P94-2,1.024093,0.2776728570461273,27.90475273132324,0.1230457201600074,0.255591332912445,0.0990123376250267,0.2830121219158172,0.0562942773103713,71.34161376953125,0.0,10.299574851989746,0.0013138292124494,47.09524917602539
P94-2,1.0555666999999997,0.1708660274744033,14.674819946289062,0.0850492790341377,0.2176648527383804,0.108736053109169,0.2306165099143981,0.0560723654925823,72.4991455078125,0.0,10.773524284362791,0.0014590920181944,70.65035247802734
